NCD 1 inch PE,,,,,,NCD 2 inch PE,,,,,,NCD 3 inch PE,,,,,,NCD 4 inch PE,,,,,,NCD 5 inch PE,,,,,,NCD bare,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source Energy(MeV),Triton Counts,Events,Effective Efficiency,Poisson Uncertainty,,Source Energy(MeV),Triton Counts,Events,Effective Efficiency,Poisson Uncertainty,,Source Energy(MeV),Triton Counts,Events,Effective Efficiency,Poisson Uncertainty,,Source Energy(MeV),Triton Counts,Events,Effective Efficiency,Poisson Uncertainty,,Source Energy(MeV),Triton Counts,Events,Effective Efficiency,Poisson Uncertainty,,Source Energy(MeV),Triton Counts,Events,Effective Efficiency,Poisson Uncertainty
0.5,122892,3000000,0.040964,1.17E-04,,0.5,154597,3000000,0.051532333,1.31E-04,,0.5,164728,5000000,0.0329456,8.12E-05,,0.5,103349,6000000,0.017224833,5.36E-05,,0.5,63031,8000000,0.007878875,3.14E-05,,0.5,1920,30000000,0.000064,1.46E-06
0.6,116959,3000000,0.038986333,1.14E-04,,0.6,156055,3000000,0.052018333,1.32E-04,,0.6,173013,5000000,0.0346026,8.32E-05,,0.6,111050,6000000,0.018508333,5.55E-05,,0.6,69445,8000000,0.008680625,3.29E-05,,0.6,1842,30000000,0.0000614,1.43E-06
0.7,112528,3000000,0.037509333,1.12E-04,,0.7,156061,3000000,0.052020333,1.32E-04,,0.7,178992,5000000,0.0357984,8.46E-05,,0.7,117890,6000000,0.019648333,5.72E-05,,0.7,75578,8000000,0.00944725,3.44E-05,,0.7,1809,30000000,0.0000603,1.42E-06
0.8,107880,3000000,0.03596,1.09E-04,,0.8,155636,3000000,0.051878667,1.32E-04,,0.8,182742,5000000,0.0365484,8.55E-05,,0.8,124197,6000000,0.0206995,5.87E-05,,0.8,82011,8000000,0.010251375,3.58E-05,,0.8,1703,30000000,5.68E-05,1.38E-06
0.9,103027,3000000,0.034342333,1.07E-04,,0.9,154891,3000000,0.051630333,1.31E-04,,0.9,187687,5000000,0.0375374,8.66E-05,,0.9,130627,6000000,0.021771167,6.02E-05,,0.9,87926,8000000,0.01099075,3.71E-05,,0.9,1699,30000000,5.66E-05,1.37E-06
1,99112,3000000,0.033037333,1.05E-04,,1,155071,3000000,0.051690333,1.31E-04,,1,191579,5000000,0.0383158,8.75E-05,,1,136233,6000000,0.0227055,6.15E-05,,1,93112,8000000,0.011639,3.81E-05,,1,1786,30000000,5.95E-05,1.41E-06
1.2,91238,3000000,0.030412667,1.01E-04,,1.2,150857,3000000,0.050285667,1.29E-04,,1.2,196797,5000000,0.0393594,8.87E-05,,1.2,144419,6000000,0.024069833,6.33E-05,,1.2,103105,8000000,0.012888125,4.01E-05,,1.2,1707,30000000,0.0000569,1.38E-06
1.4,85601,3000000,0.028533667,9.75E-05,,1.4,148846,3000000,0.049615333,1.29E-04,,1.4,199972,5000000,0.0399944,8.94E-05,,1.4,153741,6000000,0.0256235,6.53E-05,,1.4,114838,8000000,0.01435475,4.24E-05,,1.4,1770,30000000,0.000059,1.40E-06
1.6,79791,3000000,0.026597,9.42E-05,,1.6,145468,3000000,0.048489333,1.27E-04,,1.6,202712,5000000,0.0405424,9.00E-05,,1.6,159547,6000000,0.026591167,6.66E-05,,1.6,121539,8000000,0.015192375,4.36E-05,,1.6,1736,30000000,5.79E-05,1.39E-06
1.8,75516,3000000,0.025172,9.16E-05,,1.8,142538,3000000,0.047512667,1.26E-04,,1.8,204388,5000000,0.0408776,9.04E-05,,1.8,164500,6000000,0.027416667,6.76E-05,,1.8,129508,8000000,0.0161885,4.50E-05,,1.8,1620,30000000,0.000054,1.34E-06
2,70603,3000000,0.023534333,8.86E-05,,2,138410,3000000,0.046136667,1.24E-04,,2,203978,5000000,0.0407956,9.03E-05,,2,168482,6000000,0.028080333,6.84E-05,,2,136834,8000000,0.01710425,4.62E-05,,2,1592,30000000,5.31E-05,1.33E-06
2.2,66226,3000000,0.022075333,8.58E-05,,2.2,134847,3000000,0.044949,1.22E-04,,2.2,204388,5000000,0.0408776,9.04E-05,,2.2,172141,6000000,0.028690167,6.91E-05,,2.2,141891,8000000,0.017736375,4.71E-05,,2.2,1483,30000000,4.94E-05,1.28E-06
2.4,63055,3000000,0.021018333,8.37E-05,,2.4,130813,3000000,0.043604333,1.21E-04,,2.4,201901,5000000,0.0403802,8.99E-05,,2.4,173258,6000000,0.028876333,6.94E-05,,2.4,145113,8000000,0.018139125,4.76E-05,,2.4,1582,30000000,5.27E-05,1.33E-06
2.6,59276,3000000,0.019758667,8.12E-05,,2.6,126928,3000000,0.042309333,1.19E-04,,2.6,199282,5000000,0.0398564,8.93E-05,,2.6,173069,6000000,0.028844833,6.93E-05,,2.6,148387,8000000,0.018548375,4.82E-05,,2.6,1375,30000000,4.58E-05,1.24E-06
2.8,56127,3000000,0.018709,7.90E-05,,2.8,122138,3000000,0.040712667,1.16E-04,,2.8,194190,5000000,0.038838,8.81E-05,,2.8,171036,6000000,0.028506,6.89E-05,,2.8,147979,8000000,0.018497375,4.81E-05,,2.8,1374,30000000,0.0000458,1.24E-06
3,54229,3000000,0.018076333,7.76E-05,,3,123265,3000000,0.041088333,1.17E-04,,3,200967,5000000,0.0401934,8.97E-05,,3,181373,6000000,0.030228833,7.10E-05,,3,162353,8000000,0.020294125,5.04E-05,,3,1254,30000000,0.0000418,1.18E-06
3.2,51153,3000000,0.017051,7.54E-05,,3.2,115886,3000000,0.038628667,1.13E-04,,3.2,188885,5000000,0.037777,8.69E-05,,3.2,170926,6000000,0.028487667,6.89E-05,,3.2,151589,8000000,0.018948625,4.87E-05,,3.2,1225,30000000,4.08E-05,1.17E-06
3.4,48612,3000000,0.016204,7.35E-05,,3.4,111652,3000000,0.037217333,1.11E-04,,3.4,182283,5000000,0.0364566,8.54E-05,,3.4,165751,6000000,0.027625167,6.79E-05,,3.4,146644,8000000,0.0183305,4.79E-05,,3.4,1150,30000000,3.83E-05,1.13E-06
3.8,45319,3000000,0.015106333,7.10E-05,,3.8,108116,3000000,0.036038667,1.10E-04,,3.8,182180,5000000,0.036436,2.70E-05,,3.8,169319,6000000,0.028219833,6.86E-05,,3.8,154799,8000000,0.019349875,4.92E-05,,3.8,991,30000000,3.30E-05,1.05E-06
4,43996,3000000,0.014665333,6.99E-05,,4,106376,3000000,0.035458667,1.09E-04,,4,183198,5000000,0.0366396,8.56E-05,,4,172720,6000000,0.028786667,6.93E-05,,4,159090,8000000,0.01988625,4.99E-05,,4,996,30000000,0.0000332,1.05E-06
4.2,41529,3000000,0.013843,6.79E-05,,4.2,104937,3000000,0.034979,1.08E-04,,4.2,184157,5000000,0.0368314,8.58E-05,,4.2,176463,6000000,0.0294105,7.00E-05,,4.2,166909,8000000,0.020863625,5.11E-05,,4.2,919,30000000,3.06E-05,1.01E-06
4.4,40159,3000000,0.013386333,6.68E-05,,4.4,103617,3000000,0.034539,1.07E-04,,4.4,185150,5000000,0.03703,8.61E-05,,4.4,181281,6000000,0.0302135,7.10E-05,,4.4,173867,8000000,0.021733375,5.21E-05,,4.4,863,30000000,2.88E-05,9.79E-07
4.6,38985,3000000,0.012995,6.58E-05,,4.6,100817,3000000,0.033605667,1.06E-04,,4.6,183138,5000000,0.0366276,8.56E-05,,4.6,181179,6000000,0.0301965,7.09E-05,,4.6,175860,8000000,0.0219825,5.24E-05,,4.6,868,30000000,2.89E-05,9.82E-07
4.8,37016,3000000,0.012338667,6.41E-05,,4.8,98380,3000000,0.032793333,1.05E-04,,4.8,180982,5000000,0.0361964,8.51E-05,,4.8,180725,6000000,0.030120833,7.09E-05,,4.8,178665,8000000,0.022333125,5.28E-05,,4.8,807,30000000,0.0000269,9.47E-07
5,36780,3000000,0.01226,6.39E-05,,5,97502,3000000,0.032500667,1.04E-04,,5,179916,5000000,0.0359832,8.48E-05,,5,180835,6000000,0.030139167,7.09E-05,,5,179544,8000000,0.022443,5.30E-05,,5,726,30000000,0.0000242,8.98E-07
5.2,35436,3000000,0.011812,6.27E-05,,5.2,95203,3000000,0.031734333,1.03E-04,,5.2,177758,5000000,0.0355516,8.43E-05,,5.2,180092,6000000,0.030015333,7.07E-05,,5.2,180225,8000000,0.022528125,5.31E-05,,5.2,742,30000000,2.47E-05,9.08E-07
5.4,34840,3000000,0.011613333,6.22E-05,,5.4,94802,3000000,0.031600667,1.03E-04,,5.4,175386,5000000,0.0350772,8.38E-05,,5.4,178901,6000000,0.029816833,7.05E-05,,5.4,180042,8000000,0.02250525,5.30E-05,,5.4,703,30000000,2.34E-05,8.84E-07
5.6,33670,3000000,0.011223333,6.12E-05,,5.6,92175,3000000,0.030725,1.01E-04,,5.6,173939,5000000,0.0347878,8.34E-05,,5.6,177397,6000000,0.029566167,7.02E-05,,5.6,180955,8000000,0.022619375,5.32E-05,,5.6,661,30000000,2.20E-05,8.57E-07
5.8,32721,3000000,0.010907,6.03E-05,,5.8,90700,3000000,0.030233333,1.00E-04,,5.8,171896,5000000,0.0343792,8.29E-05,,5.8,177377,6000000,0.029562833,7.02E-05,,5.8,180997,8000000,0.022624625,5.32E-05,,5.8,615,30000000,0.0000205,8.27E-07
6,31744,3000000,0.010581333,5.94E-05,,6,89235,3000000,0.029745,9.96E-05,,6,170557,5000000,0.0341114,8.26E-05,,6,176422,6000000,0.029403667,7.00E-05,,6,180301,8000000,0.022537625,5.31E-05,,6,626,30000000,2.09E-05,8.34E-07
6.2,31459,3000000,0.010486333,5.91E-05,,6.2,87531,3000000,0.029177,9.86E-05,,6.2,166779,5000000,0.0333558,8.17E-05,,6.2,173822,6000000,0.028970333,6.95E-05,,6.2,178773,8000000,0.022346625,5.29E-05,,6.2,588,30000000,0.0000196,8.08E-07
6.4,30156,3000000,0.010052,5.79E-05,,6.4,86161,3000000,0.028720333,9.78E-05,,6.4,167285,5000000,0.033457,8.18E-05,,6.4,174209,6000000,0.029034833,6.96E-05,,6.4,181584,8000000,0.022698,5.33E-05,,6.4,571,30000000,1.90E-05,7.97E-07
6.6,28412,3000000,0.009470667,5.62E-05,,6.6,83918,3000000,0.027972667,9.66E-05,,6.6,164507,5000000,0.0329014,8.11E-05,,6.6,176018,6000000,0.029336333,6.99E-05,,6.6,185449,8000000,0.023181125,5.38E-05,,6.6,547,30000000,1.82E-05,7.80E-07
6.8,27289,3000000,0.009096333,5.51E-05,,6.8,80696,3000000,0.026898667,9.47E-05,,6.8,160832,5000000,0.0321664,8.02E-05,,6.8,172042,6000000,0.028673667,6.91E-05,,6.8,183388,8000000,0.0229235,5.35E-05,,6.8,548,30000000,1.83E-05,7.80E-07
7,26619,3000000,0.008873,5.44E-05,,7,79411,3000000,0.026470333,9.39E-05,,7,159170,5000000,0.031834,7.98E-05,,7,171145,6000000,0.028524167,6.89E-05,,7,183669,8000000,0.022958625,5.36E-05,,7,501,30000000,0.0000167,7.46E-07
7.2,25825,3000000,0.008608333,5.36E-05,,7.2,78198,3000000,0.026066,9.32E-05,,7.2,158078,5000000,0.0316156,7.95E-05,,7.2,171029,6000000,0.028504833,6.89E-05,,7.2,183672,8000000,0.022959,5.36E-05,,7.2,522,30000000,0.0000174,7.62E-07
7.4,25901,3000000,0.008633667,5.36E-05,,7.4,77094,3000000,0.025698,9.26E-05,,7.4,153873,5000000,0.0307746,7.85E-05,,7.4,165752,6000000,0.027625333,6.79E-05,,7.4,175966,8000000,0.02199575,5.24E-05,,7.4,476,30000000,1.59E-05,7.27E-07
7.6,25277,3000000,0.008425667,5.30E-05,,7.6,75225,3000000,0.025075,9.14E-05,,7.6,149833,5000000,0.0299666,7.74E-05,,7.6,160087,6000000,0.026681167,6.67E-05,,7.6,169134,8000000,0.02114175,5.14E-05,,7.6,463,30000000,1.54E-05,7.17E-07
7.8,24271,3000000,0.008090333,5.19E-05,,7.8,72788,3000000,0.024262667,8.99E-05,,7.8,145285,5000000,0.029057,7.62E-05,,7.8,155449,6000000,0.025908167,6.57E-05,,7.8,164240,8000000,0.02053,5.07E-05,,7.8,465,30000000,0.0000155,7.19E-07
8,23605,3000000,0.007868333,5.12E-05,,8,71973,3000000,0.023991,8.94E-05,,8,144957,5000000,0.0289914,7.61E-05,,8,156462,6000000,0.026077,6.59E-05,,8,166834,8000000,0.02085425,5.11E-05,,8,442,30000000,1.47E-05,7.01E-07
8.2,23317,3000000,0.007772333,5.09E-05,,8.2,71728,3000000,0.023909333,8.93E-05,,8.2,146630,5000000,0.029326,7.66E-05,,8.2,160074,6000000,0.026679,6.67E-05,,8.2,173093,8000000,0.021636625,5.20E-05,,8.2,420,30000000,0.000014,6.83E-07
8.4,21758,3000000,0.007252667,4.92E-05,,8.4,68845,3000000,0.022948333,8.75E-05,,8.4,143406,5000000,0.0286812,7.57E-05,,8.4,158469,6000000,0.0264115,6.63E-05,,8.4,174096,8000000,0.021762,5.22E-05,,8.4,455,30000000,1.52E-05,7.11E-07
8.6,21028,3000000,0.007009333,4.83E-05,,8.6,66771,3000000,0.022257,8.61E-05,,8.6,140695,5000000,0.028139,7.50E-05,,8.6,156879,6000000,0.0261465,6.60E-05,,8.6,173522,8000000,0.02169025,5.21E-05,,8.6,449,30000000,1.50E-05,7.06E-07
8.8,20972,3000000,0.006990667,4.83E-05,,8.8,65783,3000000,0.021927667,8.55E-05,,8.8,138419,5000000,0.0276838,7.44E-05,,8.8,154945,6000000,0.025824167,6.56E-05,,8.8,171055,8000000,0.021381875,5.17E-05,,8.8,413,30000000,1.38E-05,6.77E-07
9,20083,3000000,0.006694333,4.72E-05,,9,63556,3000000,0.021185333,8.40E-05,,9,132418,5000000,0.0264836,7.28E-05,,9,148329,6000000,0.0247215,6.42E-05,,9,163671,8000000,0.020458875,5.06E-05,,9,371,30000000,1.24E-05,6.42E-07
9.2,19413,3000000,0.006471,4.64E-05,,9.2,61867,3000000,0.020622333,8.29E-05,,9.2,129256,5000000,0.0258512,7.19E-05,,9.2,144350,6000000,0.024058333,6.33E-05,,9.2,159135,8000000,0.019891875,4.99E-05,,9.2,371,30000000,1.24E-05,6.42E-07
9.4,18735,3000000,0.006245,4.56E-05,,9.4,60612,3000000,0.020204,8.21E-05,,9.4,127895,5000000,0.025579,7.15E-05,,9.4,143554,6000000,0.023925667,6.31E-05,,9.4,159065,8000000,0.019883125,4.99E-05,,9.4,368,30000000,1.23E-05,6.39E-07
9.6,18623,3000000,0.006207667,4.55E-05,,9.6,60828,3000000,0.020276,8.22E-05,,9.6,127958,5000000,0.0255916,7.15E-05,,9.6,145592,6000000,0.024265333,6.36E-05,,9.6,161680,8000000,0.02021,5.03E-05,,9.6,388,30000000,1.29E-05,6.57E-07
9.8,18407,3000000,0.006135667,4.52E-05,,9.8,59893,3000000,0.019964333,8.16E-05,,9.8,126954,5000000,0.0253908,7.13E-05,,9.8,145244,6000000,0.024207333,6.35E-05,,9.8,161689,8000000,0.020211125,5.03E-05,,9.8,370,30000000,1.23E-05,6.41E-07
10,17695,3000000,0.005898333,4.43E-05,,10,58641,3000000,0.019547,8.07E-05,,10,126158,5000000,0.0252316,7.10E-05,,10,144319,6000000,0.024053167,6.33E-05,,10,162968,8000000,0.020371,5.05E-05,,10,340,30000000,1.13E-05,6.15E-07
10.2,17673,3000000,0.005891,4.43E-05,,10.2,58330,3000000,0.019443333,8.05E-05,,10.2,125642,5000000,0.0251284,7.09E-05,,10.2,144411,6000000,0.0240685,6.33E-05,,10.2,163770,8000000,0.02047125,5.06E-05,,10.2,346,30000000,1.15E-05,6.20E-07
10.4,17871,3000000,0.005957,4.46E-05,,10.4,58374,3000000,0.019458,8.05E-05,,10.4,124460,5000000,0.024892,7.06E-05,,10.4,143102,6000000,0.023850333,6.30E-05,,10.4,162608,8000000,0.020326,5.04E-05,,10.4,360,30000000,0.000012,6.32E-07
10.6,17689,3000000,0.005896333,4.43E-05,,10.6,58101,3000000,0.019367,8.03E-05,,10.6,124928,5000000,0.0249856,7.07E-05,,10.6,143423,6000000,0.023903833,6.31E-05,,10.6,162413,8000000,0.020301625,5.04E-05,,10.6,340,30000000,1.13E-05,6.15E-07
10.8,17404,3000000,0.005801333,4.40E-05,,10.8,57734,3000000,0.019244667,8.01E-05,,10.8,124182,5000000,0.0248364,7.05E-05,,10.8,142481,6000000,0.023746833,6.29E-05,,10.8,162070,8000000,0.02025875,5.03E-05,,10.8,320,30000000,1.07E-05,5.96E-07
11,17423,3000000,0.005807667,4.40E-05,,11,57141,3000000,0.019047,7.97E-05,,11,123889,5000000,0.0247778,7.04E-05,,11,142893,6000000,0.0238155,6.30E-05,,11,161754,8000000,0.02021925,5.03E-05,,11,330,30000000,0.000011,6.06E-07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.6,46997,3000000,0.015665667,7.23E-05,,3.6,179821,3000000,0.059940333,1.41E-04,,3.6,,5000000,0,0.00E+00,,3.6,,6000000,0,0.00E+00,,3.6,,8000000,0,0.00E+00,,3.6,1050,30000000,0.000035,1.08E-06
